Temp,Pgauge,Fpv
83,330.0,1.0229
83,340.0,1.0236
83,350.0,1.0243
83,360.0,1.0250
83,370.0,1.0257
83,380.0,1.0264
83,390.0,1.0271
83,400.0,1.0278
83,410.0,1.0285
83,420.0,1.0292
83,430.0,1.0299
83,440.0,1.0306
83,450.0,1.0314
83,460.0,1.0321
83,470.0,1.0328
83,480.0,1.0335
83,490.0,1.0342
83,500.0,1.0349
84,0,1.0000
84,10.0,1.0007
84,20.0,1.0013
84,30.0,1.0020
84,40.0,1.0027
84,50.0,1.0034
84,60.0,1.0041
84,70.0,1.0047
84,80.0,1.0054
84,90.0,1.0061
84,100.0,1.0068
84,110.0,1.0075
84,120.0,1.0081
84,130.0,1.0088
84,140.0,1.0095
84,150.0,1.0102
84,160.0,1.0109
84,170.0,1.0116
84,180.0,1.0123
84,190.0,1.0130
84,200.0,1.0137
84,210.0,1.0144
84,220.0,1.0151
84,230.0,1.0157
84,240.0,1.0164
84,250.0,1.0171
84,260.0,1.0178
84,270.0,1.0185
84,280.0,1.0192
84,290.0,1.0199
84,300.0,1.0206
84,310.0,1.0213
84,320.0,1.0220
84,330.0,1.0227
84,340.0,1.0234
84,350.0,1.0241
84,360.0,1.0248
84,370.0,1.0255
84,380.0,1.0262
84,390.0,1.0269
84,400.0,1.0276
84,410.0,1.0283
84,420.0,1.0290
84,430.0,1.0297
84,440.0,1.0304
84,450.0,1.0311
84,460.0,1.0318
84,470.0,1.0325
84,480.0,1.0333
84,490.0,1.0340
84,500.0,1.0347
85,0,1.0000
85,10.0,1.0007
85,20.0,1.0013
85,30.0,1.0020
85,40.0,1.0027
85,50.0,1.0033
85,60.0,1.0040
85,70.0,1.0047
85,80.0,1.0054
85,90.0,1.0061
85,100.0,1.0067
85,110.0,1.0074
85,120.0,1.0081
85,130.0,1.0088
85,140.0,1.0095
85,150.0,1.0101
85,160.0,1.0108
85,170.0,1.0115
85,180.0,1.0122
85,190.0,1.0129
85,200.0,1.0136
85,210.0,1.0143
85,220.0,1.0149
85,230.0,1.0156
85,240.0,1.0163
85,250.0,1.0170
85,260.0,1.0177
85,270.0,1.0184
85,280.0,1.0191
85,290.0,1.0198
85,300.0,1.0205
85,310.0,1.0212
85,320.0,1.0219
85,330.0,1.0226
85,340.0,1.0232
85,350.0,1.0239
85,360.0,1.0246
85,370.0,1.0253
85,380.0,1.0260
85,390.0,1.0267
85,400.0,1.0274
85,410.0,1.0281
85,420.0,1.0288
85,430.0,1.0295
85,440.0,1.0302
85,450.0,1.0309
85,460.0,1.0316
85,470.0,1.0323
85,480.0,1.0330
85,490.0,1.0337
85,500.0,1.0344
86,0,1.0000
86,10.0,1.0007
86,20.0,1.0013
86,30.0,1.0020
86,40.0,1.0027
86,50.0,1.0033
86,60.0,1.0040
86,70.0,1.0047
86,80.0,1.0053
86,90.0,1.0060
86,100.0,1.0067
86,110.0,1.0074
86,120.0,1.0080
86,130.0,1.0087
86,140.0,1.0094
86,150.0,1.0101
86,160.0,1.0108
86,170.0,1.0114
86,180.0,1.0121
86,190.0,1.0128
86,200.0,1.0135
86,210.0,1.0142
86,220.0,1.0148
86,230.0,1.0155
86,240.0,1.0162
86,250.0,1.0169
86,260.0,1.0176
86,270.0,1.0183
86,280.0,1.0190
86,290.0,1.0196
86,300.0,1.0203
86,310.0,1.0210
86,320.0,1.0217
86,330.0,1.0224
86,340.0,1.0231
86,350.0,1.0238
86,360.0,1.0245
86,370.0,1.0252
86,380.0,1.0258
86,390.0,1.0265
86,400.0,1.0272
86,410.0,1.0279
86,420.0,1.0286
86,430.0,1.0293
86,440.0,1.0300
86,450.0,1.0307
86,460.0,1.0314
86,470.0,1.0321
86,480.0,1.0328
86,490.0,1.0335
86,500.0,1.0342
87,0,1.0000
87,10.0,1.0006
87,20.0,1.0013
87,30.0,1.0020
87,40.0,1.0026
87,50.0,1.0033
87,60.0,1.0040
87,70.0,1.0046
87,80.0,1.0053
87,90.0,1.0060
87,100.0,1.0066
87,110.0,1.0073
87,120.0,1.0080
87,130.0,1.0087
87,140.0,1.0093
87,150.0,1.0100
87,160.0,1.0107
87,170.0,1.0114
87,180.0,1.0120
87,190.0,1.0127
87,200.0,1.0134
87,210.0,1.0141
87,220.0,1.0147
87,230.0,1.0154
87,240.0,1.0161
87,250.0,1.0168
87,260.0,1.0175
87,270.0,1.0181
87,280.0,1.0188
87,290.0,1.0195
87,300.0,1.0202
87,310.0,1.0209
87,320.0,1.0216
87,330.0,1.0222
87,340.0,1.0229
87,350.0,1.0236
87,360.0,1.0243
87,370.0,1.0250
87,380.0,1.0257
87,390.0,1.0263
87,400.0,1.0270
87,410.0,1.0277
87,420.0,1.0284
87,430.0,1.0291
87,440.0,1.0298
87,450.0,1.0305
87,460.0,1.0312
87,470.0,1.0319
87,480.0,1.0325
87,490.0,1.0332
87,500.0,1.0339
88,0,1.0000
88,10.0,1.0006
88,20.0,1.0013
88,30.0,1.0020
88,40.0,1.0026
88,50.0,1.0033
88,60.0,1.0039
88,70.0,1.0046
88,80.0,1.0053
88,90.0,1.0059
88,100.0,1.0066
88,110.0,1.0073
88,120.0,1.0079
88,130.0,1.0086
88,140.0,1.0093
88,150.0,1.0099
88,160.0,1.0106
88,170.0,1.0113
88,180.0,1.0119
88,190.0,1.0126
88,200.0,1.0133
88,210.0,1.0140
88,220.0,1.0146
88,230.0,1.0153
88,240.0,1.0160
88,250.0,1.0167
88,260.0,1.0173
88,270.0,1.0180
88,280.0,1.0187
88,290.0,1.0194
88,300.0,1.0200
88,310.0,1.0207
88,320.0,1.0214
88,330.0,1.0221
88,340.0,1.0228
88,350.0,1.0234
88,360.0,1.0241
88,370.0,1.0248
88,380.0,1.0255
88,390.0,1.0262
88,400.0,1.0268
88,410.0,1.0275
88,420.0,1.0282
88,430.0,1.0289
88,440.0,1.0296
88,450.0,1.0303
88,460.0,1.0309
88,470.0,1.0316
88,480.0,1.0323
88,490.0,1.0330
88,500.0,1.0337
89,0,1.0000
89,10.0,1.0006
89,20.0,1.0013
89,30.0,1.0019
89,40.0,1.0026
89,50.0,1.0033
89,60.0,1.0039
89,70.0,1.0046
89,80.0,1.0052
89,90.0,1.0059
89,100.0,1.0066
89,110.0,1.0072
89,120.0,1.0079
89,130.0,1.0085
89,140.0,1.0092
89,150.0,1.0099
89,160.0,1.0105
89,170.0,1.0112
89,180.0,1.0119
89,190.0,1.0125
89,200.0,1.0132
89,210.0,1.0139
89,220.0,1.0145
89,230.0,1.0152
89,240.0,1.0159
89,250.0,1.0165
89,260.0,1.0172
89,270.0,1.0179
89,280.0,1.0186
89,290.0,1.0192
89,300.0,1.0199
89,310.0,1.0206
89,320.0,1.0213
89,330.0,1.0219
89,340.0,1.0226
89,350.0,1.0233
89,360.0,1.0239
89,370.0,1.0246
89,380.0,1.0253
89,390.0,1.0260
89,400.0,1.0267
89,410.0,1.0273
89,420.0,1.0280
89,430.0,1.0287
89,440.0,1.0294
89,450.0,1.0300
89,460.0,1.0307
89,470.0,1.0314
89,480.0,1.0321
89,490.0,1.0328
89,500.0,1.0334
